Area,Category,Fuel_Type,Year,Energy_Gen
NSW,non-renewable,Black coal,2008-09,67650
NSW,non-renewable,Natural gas,2008-09,2445
NSW,non-renewable,Oil products,2008-09,25
NSW,non-renewable,Other,2008-09,337
NSW,renewable,Bagasse_wood,2008-09,291
NSW,renewable,Biogas,2008-09,383
NSW,renewable,Wind,2008-09,41
NSW,renewable,Hydro,2008-09,1497
NSW,renewable,Small-scale solar PV,2008-09,36
VIC,non-renewable,Brown coal,2008-09,52094
VIC,non-renewable,Natural gas,2008-09,1452
VIC,non-renewable,Oil products,2008-09,20
VIC,non-renewable,Other,2008-09,61
VIC,renewable,Biogas,2008-09,292
VIC,renewable,Wind,2008-09,573
VIC,renewable,Hydro,2008-09,2235
VIC,renewable,Small-scale solar PV,2008-09,24
QLD,non-renewable,Black coal,2008-09,50882
QLD,non-renewable,Natural gas,2008-09,9257
QLD,non-renewable,Oil products,2008-09,711
QLD,non-renewable,Other,2008-09,692
QLD,renewable,Bagasse_wood,2008-09,1472
QLD,renewable,Biogas,2008-09,116
QLD,renewable,Wind,2008-09,27
QLD,renewable,Hydro,2008-09,820
QLD,renewable,Small-scale solar PV,2008-09,51
QLD,renewable,Geothermal,2008-09,1
WA,non-renewable,Black coal,2008-09,8738
WA,non-renewable,Natural gas,2008-09,14556
WA,non-renewable,Oil products,2008-09,1464
WA,non-renewable,Other,2008-09,2153
WA,renewable,Biogas,2008-09,120
WA,renewable,Wind,2008-09,675
WA,renewable,Small-scale solar PV,2008-09,19
SA,non-renewable,Brown coal,2008-09,4887
SA,non-renewable,Natural gas,2008-09,7371
SA,non-renewable,Oil products,2008-09,63
SA,non-renewable,Other,2008-09,337
SA,renewable,Biogas,2008-09,86
SA,renewable,Wind,2008-09,2020
SA,renewable,Hydro,2008-09,4
SA,renewable,Small-scale solar PV,2008-09,23
TAS,non-renewable,Natural gas,2008-09,705
TAS,non-renewable,Oil products,2008-09,65
TAS,renewable,Biogas,2008-09,25
TAS,renewable,Wind,2008-09,487
TAS,renewable,Hydro,2008-09,7314
TAS,renewable,Small-scale solar PV,2008-09,2
NT,non-renewable,Natural gas,2008-09,1873
NT,non-renewable,Oil products,2008-09,1039
NT,renewable,Biogas,2008-09,9
NT,renewable,Small-scale solar PV,2008-09,1
All,non-renewable,Black coal,2009-10,123725
All,non-renewable,Brown coal,2009-10,56068
All,non-renewable,Natural gas,2009-10,44585
All,non-renewable,Oil products,2009-10,3107
All,non-renewable,Other,2009-10,2991
All,renewable,Bagasse_wood,2009-10,1762
All,renewable,Biogas,2009-10,1016
All,renewable,Wind,2009-10,5052
All,renewable,Hydro,2009-10,13549
All,renewable,Small-scale solar PV,2009-10,425
All,renewable,Geothermal,2009-10,1
NSW,non-renewable,Black coal,2009-10,64399
NSW,non-renewable,Natural gas,2009-10,4681
NSW,non-renewable,Oil products,2009-10,6
NSW,non-renewable,Other,2009-10,494
NSW,renewable,Bagasse_wood,2009-10,295
NSW,renewable,Biogas,2009-10,386
NSW,renewable,Wind,2009-10,433
NSW,renewable,Hydro,2009-10,2690
NSW,renewable,Small-scale solar PV,2009-10,119
VIC,non-renewable,Brown coal,2009-10,51542
VIC,non-renewable,Natural gas,2009-10,1698
VIC,non-renewable,Oil products,2009-10,1
VIC,non-renewable,Other,2009-10,116
VIC,renewable,Biogas,2009-10,303
VIC,renewable,Wind,2009-10,1406
VIC,renewable,Hydro,2009-10,1975
VIC,renewable,Small-scale solar PV,2009-10,66
QLD,non-renewable,Black coal,2009-10,49714
QLD,non-renewable,Natural gas,2009-10,12021
QLD,non-renewable,Oil products,2009-10,371
QLD,non-renewable,Other,2009-10,1026
QLD,renewable,Bagasse_wood,2009-10,1467
QLD,renewable,Biogas,2009-10,82
QLD,renewable,Wind,2009-10,31
QLD,renewable,Hydro,2009-10,573
QLD,renewable,Small-scale solar PV,2009-10,121
QLD,renewable,Geothermal,2009-10,1
WA,non-renewable,Black coal,2009-10,9612
WA,non-renewable,Natural gas,2009-10,16006
WA,non-renewable,Oil products,2009-10,1373
WA,non-renewable,Other,2009-10,1018
WA,renewable,Biogas,2009-10,121
WA,renewable,Wind,2009-10,664
WA,renewable,Small-scale solar PV,2009-10,58
SA,non-renewable,Brown coal,2009-10,4527
SA,non-renewable,Natural gas,2009-10,6937
SA,non-renewable,Oil products,2009-10,164
SA,non-renewable,Other,2009-10,335
SA,renewable,Biogas,2009-10,86
SA,renewable,Wind,2009-10,2029
SA,renewable,Hydro,2009-10,4
SA,renewable,Small-scale solar PV,2009-10,51
TAS,non-renewable,Natural gas,2009-10,1110
TAS,non-renewable,Oil products,2009-10,74
TAS,renewable,Biogas,2009-10,29
TAS,renewable,Wind,2009-10,489
TAS,renewable,Hydro,2009-10,8307
TAS,renewable,Small-scale solar PV,2009-10,6
NT,non-renewable,Natural gas,2009-10,2133
NT,non-renewable,Oil products,2009-10,1118
NT,non-renewable,Other,2009-10,2
NT,renewable,Biogas,2009-10,9
NT,renewable,Small-scale solar PV,2009-10,4
All,non-renewable,Black coal,2010-11,116949
All,non-renewable,Brown coal,2010-11,55298
All,non-renewable,Natural gas,2010-11,48996
All,non-renewable,Oil products,2010-11,3094
All,non-renewable,Other,2010-11,2716
All,renewable,Bagasse_wood,2010-11,1077
All,renewable,Biogas,2010-11,1025
All,renewable,Wind,2010-11,6085
All,renewable,Hydro,2010-11,16807
All,renewable,Small-scale solar PV,2010-11,1530
All,renewable,Geothermal,2010-11,1
NSW,non-renewable,Black coal,2010-11,60732
NSW,non-renewable,Natural gas,2010-11,4743
NSW,non-renewable,Oil products,2010-11,61
NSW,non-renewable,Other,2010-11,266
NSW,renewable,Bagasse_wood,2010-11,253
NSW,renewable,Biogas,2010-11,360
NSW,renewable,Wind,2010-11,530
NSW,renewable,Hydro,2010-11,2475
NSW,renewable,Small-scale solar PV,2010-11,526
VIC,non-renewable,Brown coal,2010-11,51067
VIC,non-renewable,Natural gas,2010-11,1290
VIC,non-renewable,Oil products,2010-11,38
VIC,non-renewable,Other,2010-11,115
VIC,renewable,Biogas,2010-11,340
VIC,renewable,Wind,2010-11,1434
VIC,renewable,Hydro,2010-11,3911
VIC,renewable,Small-scale solar PV,2010-11,206
QLD,non-renewable,Black coal,2010-11,45864
QLD,non-renewable,Natural gas,2010-11,14595
QLD,non-renewable,Oil products,2010-11,374
QLD,non-renewable,Other,2010-11,1039
QLD,renewable,Bagasse_wood,2010-11,824
QLD,renewable,Biogas,2010-11,97
QLD,renewable,Wind,2010-11,27
QLD,renewable,Hydro,2010-11,966
QLD,renewable,Small-scale solar PV,2010-11,401
QLD,renewable,Geothermal,2010-11,1
WA,non-renewable,Black coal,2010-11,10352
WA,non-renewable,Natural gas,2010-11,18116
WA,non-renewable,Oil products,2010-11,1414
WA,non-renewable,Other,2010-11,1029
WA,renewable,Biogas,2010-11,112
